,targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate
1418,Catalina (C/2013 US10),2457936.702586805,A.D. 2017-Jul-02 04:51:43.5000,8.4,2.988304278389955,6.5,5.558602892740063,3.143499542211178,0.006483821447165573,0.005734523542975916,0.003022824695891428,0.04072031972503474,7.050504801168763,0.008616945918964771
1419,Catalina (C/2013 US10),2457937.702586805,A.D. 2017-Jul-03 04:51:43.5000,8.4,2.99478684198804,6.5,5.564335073774298,3.146521040640968,0.006481306373903871,0.005729840583750743,0.003020173358192652,0.04077007390673348,7.059119470683,0.008612394682536006
1420,Catalina (C/2013 US10),2457938.702586805,A.D. 2017-Jul-04 04:51:43.5000,8.4,3.001266892385844,6.5,5.570062578014766,3.149539891311326,0.006478795044904293,0.005725169946131798,0.003017529171783151,0.04081980182990311,7.067729593673858,0.008607852866177764
1421,Catalina (C/2013 US10),2457939.702586805,A.D. 2017-Jul-05 04:51:43.5000,8.4,3.007744433322621,6.5,5.57578541775517,3.152556101357824,0.006476287450241027,0.005720511574341759,0.00301489210524808,0.04086950354884512,7.076335179543353,0.008603320433817847
1422,Catalina (C/2013 US10),2457940.702586805,A.D. 2017-Jul-06 04:51:43.5000,8.4,3.014219468527965,6.5,5.581503605233532,3.155569677884686,0.006473783580510777,0.005715865412810241,0.003012262127305919,0.04091917911765346,7.084936237657554,0.008598797349650033
1423,Catalina (C/2013 US10),2457941.702586805,A.D. 2017-Jul-07 04:51:43.5000,8.4,3.020692001722307,6.5,5.587217152632445,3.158580627964919,0.006471283426787149,0.00571123140625607,0.00300963920681808,0.0409688285902161,7.093532777346883,0.008594283578186557
1424,Catalina (C/2013 US10),2457942.702586805,A.D. 2017-Jul-08 04:51:43.5000,8.4,3.027162036617371,6.5,5.59292607207939,3.161588958640475,0.006468786980569223,0.005706609499749678,0.003007023312797443,0.04101845202021713,7.102124807906447,0.008589779084291793
1425,Catalina (C/2013 US10),2457943.702586805,A.D. 2017-Jul-09 04:51:43.5000,8.4,3.033629576916568,6.5,5.598630375647111,3.164594676922392,0.006466294233728649,0.005701999638758336,0.00300441441441564,0.04106804946113871,7.110712338596398,0.008585283833200955
1426,Catalina (C/2013 US10),2457944.702586805,A.D. 2017-Jul-10 04:51:43.5000,8.4,3.040094626315348,6.5,5.604330075354037,3.167597789790963,0.006463805178458278,0.005697401769177034,0.003001812481009019,0.04111762096626338,7.119295378642316,0.008580797790527353
1427,Catalina (C/2013 US10),2457945.702586805,A.D. 2017-Jul-11 04:51:43.5000,8.4,3.046557188501494,6.5,5.61002518316471,3.170598304195902,0.006461319807224157,0.005692815837347831,0.002999217482083392,0.0411671665886761,7.127873937235583,0.008576320922261274
