,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
89,Earth (399),2456607.702586805,A.D. 2013-Nov-11 04:51:43.5000,0.6525267438067268,0.7445815294922651,-2.62230257214576e-05,-0.01322226670637479,0.01126902849834852,-8.672039233165901e-08,0.005718033850560445,0.9900468706741604,-0.000239556499003935
90,Earth (399),2456608.702586805,A.D. 2013-Nov-12 04:51:43.5000,0.639206423306094,0.7557360838430371,-2.623566491716833e-05,-0.01341769937268516,0.01103955074719518,5.786894899927967e-08,0.005716660094798974,0.9898090122374567,-0.0002360988580299028
91,Earth (399),2456609.702586805,A.D. 2013-Nov-13 04:51:43.5000,0.6256926897593761,0.7666595850961834,-2.611548457415866e-05,-0.01360909785085424,0.01080693457693976,1.779340998737001e-07,0.005715307331558773,0.9895747885431364,-0.0002322947875082347
92,Earth (399),2456610.702586805,A.D. 2013-Nov-14 04:51:43.5000,0.611989562912702,0.7773489280721786,-2.58896300539e-05,-0.01379649015495723,0.01057124299227048,2.685661314481897e-07,0.005713977418679321,0.9893445212661351,-0.0002281951062849546
93,Earth (399),2456611.702586805,A.D. 2013-Nov-15 04:51:43.5000,0.5981010378313727,0.7878010607328393,-2.558915589293393e-05,-0.01397989694236517,0.01033251984677139,3.268520925298409e-07,0.005712671901303235,0.9891184779396028,-0.0002238566844891297
94,Earth (399),2456612.702586805,A.D. 2013-Nov-16 04:51:43.5000,0.5840310941648462,0.7980129668383416,-2.524705569051666e-05,-0.01415932785972266,0.01009079354258852,3.518078508430972e-07,0.005711391986963414,0.9888968676413801,-0.0002193390088066669
95,Earth (399),2456613.702586805,A.D. 2013-Nov-17 04:51:43.5000,0.5697837085621131,0.8079816525575466,-2.489640653538042e-05,-0.01433477892046276,0.009846081234381385,3.44215080468692e-07,0.00571013853987089,0.9886798400049684,-0.000214700965599348
96,Earth (399),2456614.702586805,A.D. 2013-Nov-18 04:51:43.5000,0.5553628691056309,0.8177041374868064,-2.456872570649189e-05,-0.01450623113235159,0.009598393395616345,3.063608353076957e-07,0.005708912092926895,0.988467487299356,-0.0002099979604232707
97,Earth (399),2456615.702586805,A.D. 2013-Nov-19 04:51:43.5000,0.5407725904072086,0.8271774502539685,-2.429262927533461e-05,-0.01467365056029887,0.009347738334775375,2.416998698898363e-07,0.005707712874674951,0.9882598490956267,-0.0002052796831515634
98,Earth (399),2456616.702586805,A.D. 2013-Nov-20 04:51:43.5000,0.526016927939473,0.8363986283771775,-2.409284866452813e-05,-0.01483698975289851,0.009094126092233772,1.544857354528826e-07,0.005706540846512379,0.9880569187099344,-0.0002005888323078209
99,Earth (399),2456617.702586805,A.D. 2013-Nov-21 04:51:43.5000,0.5110999904102089,0.8453647214922757,-2.398960713193646e-05,-0.01499619014186801,0.008837571213249726,4.94297357214498e-08,0.005705395744097183,0.9878586503728809,-0.0001959609418352819
100,Earth (399),2456618.702586805,A.D. 2013-Nov-22 04:51:43.5000,0.4960259495001009,0.8540727966718998,-2.399830062553594e-05,-0.01515118480519644,0.008578094142089288,-6.855938270349222e-08,0.005704277116756853,0.9876649660529401,-0.0001914252098161211
101,Earth (399),2456619.702586805,A.D. 2013-Nov-23 04:51:43.5000,0.4807990469301024,0.8625199444614301,-2.412938412264254e-05,-0.01530190094110022,0.008315721296356497,-1.945228622237852e-07,0.005703184359921458,0.9874757610720734,-0.0001870060214090575
102,Earth (399),2456620.702586805,A.D. 2013-Nov-24 04:51:43.5000,0.4654235994353978,0.8707032844570616,-2.438834519566264e-05,-0.01544826150265947,0.008050484149325528,-3.234799270879225e-07,0.005702116737764375,0.9872909080258502,-0.0001827247409493456
103,Earth (399),2456621.702586805,A.D. 2013-Nov-25 04:51:43.5000,0.4499040026889987,0.8786199696774534,-2.477565194125607e-05,-0.01559018561693601,0.007782417831348485,-4.503530106379677e-07,0.005701073395835447,0.9871102589708125,-0.0001786013061532931
104,Earth (399),2456622.702586805,A.D. 2013-Nov-26 04:51:43.5000,0.4342447354993186,0.8862671895567442,-2.528658916598358e-05,-0.01572758760363976,0.007511559886608331,-5.698267348780525e-07,0.005700053366217326,0.9869336463172662,-0.0001746551405229736
105,Earth (399),2456623.702586805,A.D. 2013-Nov-27 04:51:43.5000,0.4184503656863744,0.8936421720806006,-2.591094324213359e-05,-0.01586037462688139,0.007237949938368278,-6.761977600818315e-07,0.005699055570608094,0.9867608833630219,-0.0001709048701967785
106,Earth (399),2456624.702586805,A.D. 2013-Nov-28 04:51:43.5000,0.4025255588592454,0.9007421864010124,-2.663256574008034e-05,-0.01598844333715175,0.006961631133990044,-7.632989569674216e-07,0.005698078829790611,0.9865917659329606,-0.0001673663073237576
107,Earth (399),2456625.702586805,A.D. 2013-Nov-29 04:51:43.5000,0.3864750907138617,0.9075645481634931,-2.742894479924595e-05,-0.01611167639588723,0.006682654261815379,-8.246120813485813e-07,0.005697121890883733,0.9864260770974376,-0.0001640482567670023
108,Earth (399),2456626.702586805,A.D. 2013-Nov-30 04:51:43.5000,0.3703038622069437,0.9141066305495043,-2.827103863852303e-05,-0.01622994054705235,0.006401085097007641,-8.537008071612462e-07,0.005696183485308289,0.986263597208778,-0.0001609461348776198
109,Earth (399),2456627.702586805,A.D. 2013-Dec-01 04:51:43.5000,0.3540169148986897,0.9203658841409313,-2.912374607271436e-05,-0.01634308864808272,0.006117014480707264,-8.45059729336405e-07,0.005695262427892228,0.9861041210608021,-0.0001580343843326325
110,Earth (399),2456628.702586805,A.D. 2013-Dec-02 04:51:43.5000,0.3376194412428458,0.9263398673198567,-2.994742442408921e-05,-0.01645096806512279,0.005830568718566393,-7.953343405307634e-07,0.005694357757665783,0.9859474822667531,-0.0001552601653025201
111,Earth (399),2456629.702586805,A.D. 2013-Dec-03 04:51:43.5000,0.3211167828959864,0.9320262854100186,-3.070070203985105e-05,-0.01655343608790151,0.005541915791617532,-7.046180250253396e-07,0.005693468902631826,0.9857935817883977,-0.000152542007019127
112,Earth (399),2456630.702586805,A.D. 2013-Dec-04 04:51:43.5000,0.3045144111802582,0.9374230318011166,-3.134441118404814e-05,-0.01665037934792563,0.005251262412185978,-5.772976338230843e-07,0.005692595829930771,0.9856424139362758,-0.0001497765433634926
113,Earth (399),2456631.702586805,A.D. 2013-Dec-05 04:51:43.5000,0.2878178888339883,0.9425282204900249,-3.184591496965565e-05,-0.0167417305256023,0.004958839892484366,-4.21931535560822e-07,0.005691739132919938,0.985494081447022,-0.0001468532232064347
114,Earth (399),2456632.702586805,A.D. 2013-Dec-06 04:51:43.5000,0.2710328194842753,0.9473402001359583,-3.218275103031978e-05,-0.01682747525288847,0.004664882363025016,-2.500307567327264e-07,0.005690900020348845,0.9853487936091273,-0.0001436724376839187
115,Earth (399),2456633.702586805,A.D. 2013-Dec-07 04:51:43.5000,0.2541647965311539,0.9518575457047548,-3.234466447118693e-05,-0.01690764646297147,0.004369605156626248,-7.416477538533688e-08,0.005690080207395821,0.9852068473965148,-0.0001401602932042104
116,Earth (399),2456634.702586805,A.D. 2013-Dec-08 04:51:43.5000,0.2372193627555284,0.9560790317578093,-3.233370744464122e-05,-0.01698230957325871,0.004073190603327836,9.389220052956885e-08,0.005689281743457603,0.9850685976512283,-0.0001362753114319323
117,Earth (399),2456635.702586805,A.D. 2013-Dec-09 04:51:43.5000,0.2202019865499011,0.9600035965449436,-3.216275288897624e-05,-0.0170515451993956,0.003775783815990269,2.444185412999286e-07,0.005688506826100609,0.9849344248700987,-0.0001320068505106931
118,Earth (399),2456636.702586805,A.D. 2013-Dec-10 04:51:43.5000,0.2031180542058502,0.963630306101546,-3.185312744549691e-05,-0.01711543500055868,0.003477496285574838,3.702585367348729e-07,0.005687757640706244,0.9848047074401866,-0.0001273684568229226
119,Earth (399),2456637.702586805,A.D. 2013-Dec-11 04:51:43.5000,0.1859728737166758,0.9669583241200627,-3.143203572063627e-05,-0.01717405289449421,0.003178413145305923,4.667717812173166e-07,0.005687036243717364,0.9846798014235345,-0.0001223899752005189
120,Earth (399),2456638.702586805,A.D. 2013-Dec-12 04:51:43.5000,0.168771684854921,0.9699868894216839,-3.093019803355267e-05,-0.01722746104345176,0.002878600673620374,5.315021479742052e-07,0.005686344488589051,0.9845600277359426,-0.0001171109185574909
121,Earth (399),2456639.702586805,A.D. 2013-Dec-13 04:51:43.5000,0.1515196716117947,0.9727153002694796,-3.037986212808319e-05,-0.01727570882943357,0.002578112329531854,5.637887223610606e-07,0.005685683984069221,0.9844456649234766,-0.0001115759264215918
