wavelength (angstroms),irradiance
1905.0,0.39925
1906.0,0.403545
1907.0,0.40784
1908.0,0.412135
1909.0,0.41642999999999997
1910.0,0.420725
1911.0,0.42502
1912.0,0.429315
1913.0,0.43361
1914.0,0.437905
1915.0,0.4422
1916.0,0.441755
1917.0,0.44131
1918.0,0.44086499999999995
1919.0,0.44042
1920.0,0.439975
1921.0,0.43953
1922.0,0.43908499999999995
1923.0,0.43864
1924.0,0.438195
1925.0,0.43775
1926.0,0.434295
1927.0,0.43084
1928.0,0.42738499999999996
1929.0,0.42393
1930.0,0.420475
1931.0,0.41702
1932.0,0.413565
1933.0,0.41011
1934.0,0.406655
1935.0,0.4032
1936.0,0.41819
1937.0,0.43318
1938.0,0.44817
1939.0,0.46316
1940.0,0.47815
1941.0,0.49314
1942.0,0.50813
1943.0,0.52312
1944.0,0.5381100000000001
1945.0,0.5531
1946.0,0.555475
1947.0,0.5578500000000001
1948.0,0.560225
1949.0,0.5626
1950.0,0.564975
1951.0,0.56735
1952.0,0.569725
1953.0,0.5720999999999999
1954.0,0.574475
1955.0,0.57685
1956.0,0.58287
1957.0,0.58889
1958.0,0.5949099999999999
1959.0,0.60093
1960.0,0.60695
1961.0,0.61297
1962.0,0.61899
1963.0,0.62501
1964.0,0.63103
1965.0,0.63705
1966.0,0.63906
1967.0,0.64107
1968.0,0.64308
1969.0,0.64509
1970.0,0.6471
1971.0,0.64911
1972.0,0.65112
1973.0,0.65313
1974.0,0.6551400000000001
1975.0,0.65715
1976.0,0.65699
1977.0,0.65683
1978.0,0.65667
1979.0,0.65651
1980.0,0.65635
1981.0,0.6561899999999999
1982.0,0.65603
1983.0,0.65587
1984.0,0.65571
1985.0,0.65555
1986.0,0.660515
1987.0,0.66548
1988.0,0.670445
1989.0,0.67541
1990.0,0.680375
1991.0,0.6853400000000001
1992.0,0.6903050000000001
1993.0,0.69527
1994.0,0.700235
1995.0,0.7052
1996.0,0.712245
1997.0,0.71929
1998.0,0.7263350000000001
1999.0,0.73338
2000.0,0.740425
2001.0,0.74747
2002.0,0.7545149999999999
2003.0,0.76156
2004.0,0.768605
2005.0,0.77565
2006.0,0.78306
2007.0,0.79047
2008.0,0.7978799999999999
2009.0,0.80529
2010.0,0.8127
2011.0,0.82011
2012.0,0.82752
2013.0,0.83493
2014.0,0.84234
2015.0,0.84975
2016.0,0.852085
2017.0,0.85442
2018.0,0.856755
2019.0,0.85909
2020.0,0.861425
2021.0,0.86376
2022.0,0.866095
2023.0,0.86843
2024.0,0.870765
2025.0,0.8731
2026.0,0.88322
2027.0,0.89334
2028.0,0.90346
2029.0,0.9135800000000001
2030.0,0.9237
2031.0,0.93382
2032.0,0.94394
2033.0,0.95406
2034.0,0.96418
2035.0,0.9743
2036.0,0.98522
2037.0,0.99614
2038.0,1.00706
2039.0,1.01798
2040.0,1.0289
2041.0,1.03982
2042.0,1.05074
2043.0,1.0616599999999998
2044.0,1.0725799999999999
2045.0,1.0835
2046.0,1.0867499999999999
2047.0,1.0899999999999999
2048.0,1.09325
2049.0,1.0965
2050.0,1.09975
2051.0,1.103
2052.0,1.10625
2053.0,1.1095000000000002
2054.0,1.1127500000000001
2055.0,1.116
2056.0,1.1216000000000002
2057.0,1.1272
2058.0,1.1328
2059.0,1.1384
2060.0,1.1440000000000001
2061.0,1.1496
2062.0,1.1552
2063.0,1.1608
2064.0,1.1663999999999999
2065.0,1.172
2066.0,1.1888999999999998
2067.0,1.2058
2068.0,1.2227
2069.0,1.2396
2070.0,1.2565
2071.0,1.2733999999999999
2072.0,1.2903
2073.0,1.3072
2074.0,1.3241
2075.0,1.341
2076.0,1.3654
2077.0,1.3898
2078.0,1.4142
2079.0,1.4385999999999999
2080.0,1.463
2081.0,1.4874
2082.0,1.5118
2083.0,1.5362
2084.0,1.5606
2085.0,1.585
2086.0,1.6498
2087.0,1.7146
2088.0,1.7793999999999999
2089.0,1.8442
2090.0,1.909
2091.0,1.9738
2092.0,2.0386
2093.0,2.1034
2094.0,2.1682
2095.0,2.233
2096.0,2.3013500000000002
2097.0,2.3697
2098.0,2.43805
2099.0,2.5064
2100.0,2.57475
2101.0,2.6431
2102.0,2.71145
2103.0,2.7798
2104.0,2.84815
2105.0,2.9165
2106.0,2.97495
2107.0,3.0334
2108.0,3.09185
2109.0,3.1503
2110.0,3.20875
2111.0,3.2672
2112.0,3.32565
2113.0,3.3841
2114.0,3.4425499999999998
2115.0,3.501
2116.0,3.47795
2117.0,3.4549
2118.0,3.43185
