time (Julian Date),wavelength (nm),irradiance (W/m^2/nm)
2458850.0,478.40,NaN
2458850.0,479.37,NaN
2458850.0,480.34,NaN
2458850.0,481.33,NaN
2458850.0,482.31,NaN
2458850.0,483.31,NaN
2458850.0,484.30,NaN
2458850.0,485.31,NaN
2458850.0,486.32,NaN
2458850.0,487.34,NaN
2458850.0,488.37,NaN
2458850.0,489.40,NaN
2458850.0,490.43,NaN
2458850.0,491.48,NaN
2458850.0,492.53,NaN
2458850.0,493.59,NaN
2458850.0,494.65,NaN
2458850.0,495.72,NaN
2458850.0,496.80,NaN
2458850.0,497.89,NaN
2458850.0,498.98,NaN
2458850.0,500.08,NaN
2458850.0,501.19,NaN
2458850.0,502.30,NaN
2458850.0,503.42,NaN
2458850.0,504.55,NaN
2458850.0,505.69,NaN
2458850.0,506.83,NaN
2458850.0,507.99,NaN
2458850.0,509.14,NaN
2458850.0,510.31,NaN
2458850.0,511.49,NaN
2458850.0,512.67,NaN
2458850.0,513.86,NaN
2458850.0,515.06,NaN
2458850.0,516.27,NaN
2458850.0,517.49,NaN
2458850.0,518.71,NaN
2458850.0,519.94,NaN
2458850.0,521.18,NaN
2458850.0,522.43,NaN
2458850.0,523.69,NaN
2458850.0,524.96,NaN
2458850.0,526.24,NaN
2458850.0,527.52,NaN
2458850.0,528.82,NaN
2458850.0,530.12,NaN
2458850.0,531.44,NaN
2458850.0,532.76,NaN
2458850.0,534.09,NaN
2458850.0,535.43,NaN
2458850.0,536.79,NaN
2458850.0,538.15,NaN
2458850.0,539.52,NaN
2458850.0,540.90,NaN
2458850.0,542.29,NaN
2458850.0,543.69,NaN
2458850.0,545.11,NaN
2458850.0,546.53,NaN
2458850.0,547.96,NaN
2458850.0,549.41,NaN
2458850.0,550.86,NaN
2458850.0,552.33,NaN
2458850.0,553.80,NaN
2458850.0,555.29,NaN
2458850.0,556.79,NaN
2458850.0,558.30,NaN
2458850.0,559.82,NaN
2458850.0,561.36,NaN
2458850.0,562.90,NaN
2458850.0,564.46,NaN
2458850.0,566.03,NaN
2458850.0,567.61,NaN
2458850.0,569.21,NaN
2458850.0,570.81,NaN
2458850.0,572.43,NaN
2458850.0,574.06,NaN
2458850.0,575.71,NaN
2458850.0,577.37,NaN
2458850.0,579.04,NaN
2458850.0,580.72,NaN
2458850.0,582.42,NaN
2458850.0,584.13,NaN
2458850.0,585.86,NaN
2458850.0,587.59,NaN
2458850.0,589.35,NaN
2458850.0,591.11,NaN
2458850.0,592.90,NaN
2458850.0,594.69,NaN
2458850.0,596.50,NaN
2458850.0,598.33,NaN
2458850.0,600.17,NaN
2458850.0,602.03,NaN
2458850.0,603.90,NaN
2458850.0,605.78,NaN
2458850.0,607.69,NaN
2458850.0,609.60,NaN
2458850.0,611.54,NaN
2458850.0,613.49,NaN
2458850.0,615.46,NaN
2458850.0,617.44,NaN
2458850.0,619.44,NaN
2458850.0,621.46,NaN
2458850.0,623.49,NaN
2458850.0,625.54,NaN
2458850.0,627.61,NaN
2458850.0,629.70,NaN
2458850.0,631.81,NaN
2458850.0,633.93,NaN
2458850.0,636.07,NaN
2458850.0,638.23,NaN
2458850.0,640.41,NaN
2458850.0,642.61,NaN
2458850.0,644.82,NaN
2458850.0,647.06,NaN
2458850.0,649.31,NaN
2458850.0,651.59,NaN
2458850.0,653.88,NaN
2458850.0,656.20,NaN
2458850.0,658.53,NaN
2458850.0,660.89,NaN
2458850.0,663.27,NaN
2458850.0,665.66,NaN
2458850.0,668.08,NaN
2458850.0,670.52,NaN
2458850.0,672.99,NaN
2458850.0,675.47,NaN
